"filename", "language", "Markdown", "Python", "pip requirements", "Properties", "Docker", "Ini", "YAML", "Shell Script", "Jupyter", "Makefile", "Batch", "comment", "blank", "total"
"c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\atss\README.md", "Markdown", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 22
"c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\atss\atss_r101_fpn_1x_coco.py", "Python", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\atss\atss_r50_fpn_1x_coco.py", "Python", 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 63
"c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\atss\metafile.yml", "YAML", 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 3, 44
"c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\autoassign\README.md", "Markdown", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 26
"c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\autoassign\autoassign_r50_fpn_8x2_1x_coco.py", "Python", 0, 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 85
"c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\autoassign\metafile.yml", "YAML", 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 2, 29
"c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\carafe\README.md", "Markdown", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 33
"c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\carafe\faster_rcnn_r50_fpn_carafe_1x_coco.py", "Python", 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 51
"c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\carafe\mask_rcnn_r50_fpn_carafe_1x_coco.py", "Python", 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 61
"c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\cascade_rcnn\README.md", "Markdown", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11, 56
"c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\cascade_rcnn\cascade_mask_rcnn_r101_caffe_fpn_1x_coco.py", "Python", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\cascade_rcnn\cascade_mask_rcnn_r101_fpn_1x_coco.py", "Python", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\cascade_rcnn\cascade_mask_rcnn_r101_fpn_20e_coco.py", "Python", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\cascade_rcnn\cascade_mask_rcnn_r50_caffe_fpn_1x_coco.py", "Python", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 39
"c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\cascade_rcnn\cascade_mask_rcnn_r50_fpn_1x_coco.py", "Python", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\cascade_rcnn\cascade_mask_rcnn_r50_fpn_20e_coco.py", "Python", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\cascade_rcnn\cascade_mask_rcnn_x101_32x4d_fpn_1x_coco.py", "Python", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\cascade_rcnn\cascade_mask_rcnn_x101_32x4d_fpn_20e_coco.py", "Python", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\cascade_rcnn\cascade_mask_rcnn_x101_64x4d_fpn_1x_coco.py", "Python", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\cascade_rcnn\cascade_mask_rcnn_x101_64x4d_fpn_20e_coco.py", "Python", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\cascade_rcnn\cascade_rcnn_r101_caffe_fpn_1x_coco.py", "Python", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\cascade_rcnn\cascade_rcnn_r101_fpn_1x_coco.py", "Python", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\cascade_rcnn\cascade_rcnn_r101_fpn_20e_coco.py", "Python", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
